timestamp,voltage,temperature,current,soc
2026-03-31T21:30:50.407340,20021,25,231,80
2026-03-31T21:30:53.049805,20023,25,231,80
2026-03-31T21:30:55.639769,20020,25,231,80
2026-03-31T21:30:58.268700,20021,25,231,80
2026-03-31T21:31:00.853300,20023,25,231,80
2026-03-31T21:31:03.485987,20020,25,231,80
2026-03-31T21:31:06.069967,20021,25,231,80
2026-03-31T21:31:08.716473,20019,25,231,80
2026-03-31T21:31:11.308320,20020,25,231,80
2026-03-31T21:31:13.950822,20020,25,231,80
2026-03-31T21:31:16.541042,20021,25,231,80
2026-03-31T21:31:19.161870,20022,25,231,80
2026-03-31T21:31:21.750327,20022,25,231,80
2026-03-31T21:31:24.365862,20020,25,231,80
2026-03-31T21:31:26.951971,20020,25,231,80
2026-03-31T21:31:29.572419,20021,25,231,80
2026-03-31T21:31:32.159184,20020,25,231,80
2026-03-31T21:31:34.779411,20019,25,231,80
2026-03-31T21:31:37.358436,20021,25,231,80
2026-03-31T21:31:40.008234,20019,25,231,80
2026-03-31T21:31:42.595217,20018,25,231,80
2026-03-31T21:31:45.243038,20021,25,231,80
2026-03-31T21:31:47.830092,20019,25,231,80
2026-03-31T21:31:50.460431,20020,25,231,80
2026-03-31T21:31:53.047458,20019,25,231,80
2026-03-31T21:31:55.669570,20020,25,231,80
2026-03-31T21:31:58.250765,20019,25,231,80
2026-03-31T21:32:00.868884,20019,25,231,80
2026-03-31T21:32:03.457577,20018,25,231,80
2026-03-31T21:32:06.097185,20019,25,231,80
2026-03-31T21:32:08.692834,20019,25,231,80
2026-03-31T21:32:11.342729,20020,25,231,80
2026-03-31T21:32:13.937774,20017,25,231,80
2026-03-31T21:32:16.583199,20017,25,231,80
2026-03-31T21:32:19.172307,20017,25,231,80
2026-03-31T21:32:21.823979,20019,25,231,80
2026-03-31T21:32:24.415688,20017,25,231,80
2026-03-31T21:32:27.060920,20018,25,231,80
2026-03-31T21:32:29.653119,20017,25,231,80
2026-03-31T21:32:32.272071,20016,25,231,80
2026-03-31T21:32:34.862832,20016,25,231,80
2026-03-31T21:32:37.511742,20017,25,231,80
2026-03-31T21:32:40.102870,20015,25,231,80
2026-03-31T21:32:42.752451,20016,25,231,80
2026-03-31T21:32:45.350028,20017,25,231,80
2026-03-31T21:32:47.990453,20016,25,231,80
2026-03-31T21:32:50.586217,20015,25,231,80
2026-03-31T21:32:53.233178,20016,25,231,80
2026-03-31T21:32:55.826493,20015,25,231,80
2026-03-31T21:32:58.463519,20015,25,231,80
2026-03-31T21:33:01.055495,20015,25,231,80
2026-03-31T21:33:03.700672,20015,25,231,80
2026-03-31T21:33:06.293448,20015,25,231,80
2026-03-31T21:33:08.946226,20015,25,231,80
2026-03-31T21:33:11.538674,20014,25,232,80
2026-03-31T21:33:14.194595,20015,25,232,80
2026-03-31T21:33:16.787977,20015,25,231,80
2026-03-31T21:33:19.443313,20014,25,231,80
2026-03-31T21:33:22.042424,20014,25,231,80
2026-03-31T21:33:24.671329,20017,25,232,80
2026-03-31T21:33:27.270293,20015,25,231,80
