timestamp,voltage,temperature,current,soc
2026-03-31T19:51:02.951439,19924,25,1357,85
2026-03-31T19:51:05.505208,19870,25,1386,85
2026-03-31T19:51:08.081090,19863,25,1440,85
2026-03-31T19:51:10.629080,19935,25,1446,85
2026-03-31T19:51:13.203945,19930,25,1413,85
2026-03-31T19:51:15.800753,19872,25,1400,85
2026-03-31T19:51:18.341820,19745,25,1492,85
2026-03-31T19:51:20.936469,19557,25,1755,85
2026-03-31T19:51:23.477447,19373,25,2038,85
2026-03-31T19:51:26.075285,19662,25,2208,85
2026-03-31T19:51:28.616442,19783,25,2208,85
2026-03-31T19:51:31.203583,19897,25,2064,85
2026-03-31T19:51:33.789567,19889,25,1953,85
2026-03-31T19:51:36.339880,19896,25,1817,85
2026-03-31T19:51:38.921077,20071,25,1580,85
2026-03-31T19:51:41.510957,20085,25,1407,85
2026-03-31T19:51:44.095045,20093,25,1188,85
2026-03-31T19:51:46.645377,20098,25,1068,85
2026-03-31T19:51:49.227153,20103,25,917,85
2026-03-31T19:51:51.827755,20107,25,832,85
2026-03-31T19:51:54.413672,20117,25,724,85
2026-03-31T19:51:57.027089,20120,25,635,85
2026-03-31T19:51:59.570148,20112,25,586,85
2026-03-31T19:52:02.175827,20125,25,525,85
2026-03-31T19:52:04.719525,20129,25,487,85
2026-03-31T19:52:07.309960,20132,25,441,85
2026-03-31T19:52:09.904047,20133,25,402,85
2026-03-31T19:52:12.455744,20138,25,381,85
2026-03-31T19:52:15.040347,20140,25,354,85
2026-03-31T19:52:17.637454,20142,25,338,85
2026-03-31T19:52:20.182721,20106,25,353,85
2026-03-31T19:52:22.792318,20144,25,330,85
2026-03-31T19:52:25.337300,20146,25,317,85
2026-03-31T19:52:27.925097,20148,25,301,85
2026-03-31T19:52:30.470573,19945,25,297,85
2026-03-31T19:52:33.068701,19427,25,890,85
2026-03-31T19:52:35.614402,19787,25,1214,85
2026-03-31T19:52:38.230229,20095,25,1125,85
2026-03-31T19:52:40.776590,20109,25,959,85
2026-03-31T19:52:43.374787,20117,25,866,85
2026-03-31T19:52:45.990547,20124,25,748,85
2026-03-31T19:52:48.544868,20126,25,682,85
2026-03-31T19:52:51.155753,20130,25,598,85
2026-03-31T19:52:53.710685,20132,25,562,85
2026-03-31T19:52:56.299881,20135,25,520,85
2026-03-31T19:52:58.910384,20130,25,521,85
2026-03-31T19:53:01.458316,19913,25,543,85
2026-03-31T19:53:04.072539,20128,25,575,85
2026-03-31T19:53:06.620118,20132,25,512,85
2026-03-31T19:53:09.223793,20139,25,476,85
2026-03-31T19:53:11.772315,20141,25,430,85
2026-03-31T19:53:14.381083,20077,25,417,85
2026-03-31T19:53:16.929234,20030,25,478,85
2026-03-31T19:53:19.534385,20028,25,527,85
2026-03-31T19:53:22.083582,20024,25,588,85
2026-03-31T19:53:24.700925,20021,25,637,85
2026-03-31T19:53:27.250354,20032,25,674,85
2026-03-31T19:53:29.868551,19998,25,741,85
2026-03-31T19:53:32.418380,19945,25,808,85
2026-03-31T19:53:35.017302,19985,25,895,85
2026-03-31T19:53:37.567563,20111,25,823,85
2026-03-31T19:53:40.180968,20122,25,747,85
2026-03-31T19:53:42.730932,20127,25,651,85
2026-03-31T19:53:45.335550,20154,25,597,85
2026-03-31T19:53:47.886035,20178,25,0,85
2026-03-31T19:53:50.489837,20183,25,0,85
2026-03-31T19:53:53.040809,20185,25,0,85
2026-03-31T19:53:55.643081,20189,25,0,85
2026-03-31T19:53:58.194487,20192,25,0,85
2026-03-31T19:54:00.806456,20194,25,0,85
2026-03-31T19:54:03.358290,20197,25,0,85
2026-03-31T19:54:05.971177,20199,25,0,85
2026-03-31T19:54:08.523072,20202,25,0,85
2026-03-31T19:54:11.145580,20204,25,0,85
2026-03-31T19:54:13.697957,20206,25,0,85
2026-03-31T19:54:16.306229,20207,25,0,85
2026-03-31T19:54:18.858666,20209,25,0,85
2026-03-31T19:54:21.478271,20211,25,0,85
2026-03-31T19:54:24.035518,20212,25,0,85
2026-03-31T19:54:26.669781,20214,25,0,85
2026-03-31T19:54:29.222528,20214,25,0,85
2026-03-31T19:54:31.834654,20217,25,0,85
2026-03-31T19:54:34.388609,20218,25,0,85
2026-03-31T19:54:37.011111,20219,25,0,85
2026-03-31T19:54:39.564983,20219,25,0,85
2026-03-31T19:54:42.183880,20220,25,0,85
2026-03-31T19:54:44.738830,20222,25,0,85
2026-03-31T19:54:47.356208,20223,25,0,85
2026-03-31T19:54:49.910694,20223,25,0,85
2026-03-31T19:54:52.517976,20225,25,0,85
2026-03-31T19:54:55.072684,20226,25,1,85
2026-03-31T19:54:57.696351,20227,25,0,85
2026-03-31T19:55:00.251786,20228,25,0,85
2026-03-31T19:55:02.858443,20228,25,0,85
2026-03-31T19:55:05.413848,20230,25,0,85
2026-03-31T19:55:08.042852,20230,25,0,85
2026-03-31T19:55:10.598761,20231,25,0,85
2026-03-31T19:55:13.197959,20233,25,0,85
2026-03-31T19:55:15.754049,20234,25,0,85
2026-03-31T19:55:18.378195,20234,25,0,85
2026-03-31T19:55:20.934846,20234,25,0,85
2026-03-31T19:55:23.551510,20234,25,0,85
2026-03-31T19:55:26.107824,20235,25,0,85
2026-03-31T19:55:28.736555,20236,25,0,85
2026-03-31T19:55:31.294397,20236,25,0,85
2026-03-31T19:55:33.897216,20236,25,0,85
2026-03-31T19:55:36.455805,20237,25,0,85
2026-03-31T19:55:39.084666,20237,25,0,85
2026-03-31T19:55:41.642552,20238,25,0,85
2026-03-31T19:55:44.260783,20238,25,0,85
2026-03-31T19:55:46.818908,20239,25,0,85
2026-03-31T19:55:49.431638,20239,25,0,85
2026-03-31T19:55:51.990260,20240,25,0,85
2026-03-31T19:55:54.620336,20240,25,0,85
2026-03-31T19:55:57.179102,20240,25,0,85
2026-03-31T19:55:59.810939,20240,25,0,85
2026-03-31T19:56:02.369876,20240,25,0,85
2026-03-31T19:56:04.991098,20241,25,0,85
2026-03-31T19:56:07.550798,20242,25,0,85
2026-03-31T19:56:10.180629,20242,25,0,85
2026-03-31T19:56:12.740052,20243,25,0,85
2026-03-31T19:56:15.362156,20243,25,0,85
2026-03-31T19:56:17.922190,20243,25,0,85
2026-03-31T19:56:20.537585,20243,25,0,85
2026-03-31T19:56:23.101640,20244,25,0,85
2026-03-31T19:56:25.719067,20245,25,0,85
2026-03-31T19:56:28.280524,20245,25,0,85
2026-03-31T19:56:30.916113,20245,25,0,85
2026-03-31T19:56:33.478004,20245,25,0,85
2026-03-31T19:56:36.097784,20245,25,0,85
2026-03-31T19:56:38.659051,20245,25,0,85
2026-03-31T19:56:41.291002,20245,25,0,85
2026-03-31T19:56:43.852535,20246,25,0,85
2026-03-31T19:56:46.482275,20246,25,0,85
2026-03-31T19:56:49.044344,20248,25,0,85
2026-03-31T19:56:51.676730,20247,25,0,85
2026-03-31T19:56:54.239894,20248,25,0,85
2026-03-31T19:56:56.868348,20248,25,0,85
2026-03-31T19:56:59.430794,20248,25,0,85
2026-03-31T19:57:02.065606,20248,25,0,85
2026-03-31T19:57:04.628639,20249,25,0,85
2026-03-31T19:57:07.264582,20249,25,0,85
2026-03-31T19:57:09.828084,20249,25,0,85
2026-03-31T19:57:12.465081,20249,25,0,85
2026-03-31T19:57:15.028709,20249,25,0,85
2026-03-31T19:57:17.669789,20249,25,0,85
2026-03-31T19:57:20.233834,20249,25,0,85
2026-03-31T19:57:22.871176,20249,25,0,85
2026-03-31T19:57:25.435194,20249,25,0,85
2026-03-31T19:57:28.065304,20249,25,0,85
2026-03-31T19:57:30.629892,20249,25,0,85
2026-03-31T19:57:33.254851,20250,25,0,85
2026-03-31T19:57:35.820823,20250,25,1,85
2026-03-31T19:57:38.434009,20250,25,1,85
2026-03-31T19:57:40.999275,20250,25,1,85
2026-03-31T19:57:43.639361,20250,25,0,85
2026-03-31T19:57:46.204681,20252,25,0,85
2026-03-31T19:57:48.840707,20252,25,0,85
2026-03-31T19:57:51.406996,20250,25,0,85
2026-03-31T19:57:54.048265,20251,25,0,85
2026-03-31T19:57:56.614956,20251,25,0,85
2026-03-31T19:57:59.251626,20252,25,0,85
2026-03-31T19:58:01.819301,20251,25,0,85
2026-03-31T19:58:04.459026,20251,25,0,85
2026-03-31T19:58:07.026103,20251,25,0,85
2026-03-31T19:58:09.667269,20252,25,0,85
2026-03-31T19:58:12.234530,20251,25,0,85
2026-03-31T19:58:14.873506,20252,25,0,85
2026-03-31T19:58:17.440991,20251,25,0,85
2026-03-31T19:58:20.083275,20252,25,0,85
2026-03-31T19:58:22.651193,20252,25,0,85
2026-03-31T19:58:25.281983,20252,25,0,85
2026-03-31T19:58:27.853877,20254,25,0,85
2026-03-31T19:58:30.498160,20252,25,0,85
2026-03-31T19:58:33.066529,20254,25,0,85
2026-03-31T19:58:35.700440,20252,25,0,85
2026-03-31T19:58:38.268540,20254,25,0,85
2026-03-31T19:58:40.901122,20254,25,0,85
2026-03-31T19:58:43.470128,20254,25,0,85
2026-03-31T19:58:46.101545,20254,25,0,85
2026-03-31T19:58:48.671517,20254,25,0,85
2026-03-31T19:58:51.304571,20255,25,0,85
2026-03-31T19:58:53.875205,20254,25,1,85
2026-03-31T19:58:56.504759,20254,25,0,85
2026-03-31T19:58:59.074579,20255,25,1,85
2026-03-31T19:59:01.705369,20255,25,1,85
2026-03-31T19:59:04.276608,20255,25,1,85
2026-03-31T19:59:06.907893,20255,25,1,85
2026-03-31T19:59:09.478792,20255,25,0,85
2026-03-31T19:59:12.112417,20254,25,0,85
2026-03-31T19:59:14.683464,20255,25,0,85
2026-03-31T19:59:17.325218,20255,25,0,85
2026-03-31T19:59:19.897760,20254,25,0,85
2026-03-31T19:59:22.534028,20255,25,0,85
2026-03-31T19:59:25.105756,20255,25,0,85
2026-03-31T19:59:27.749324,20255,25,0,85
2026-03-31T19:59:30.322615,20256,25,0,85
2026-03-31T19:59:32.966145,20255,25,0,85
2026-03-31T19:59:35.538932,20255,25,0,85
2026-03-31T19:59:38.182181,20256,25,0,85
2026-03-31T19:59:40.754799,20256,25,1,85
2026-03-31T19:59:43.395696,20256,25,0,85
2026-03-31T19:59:45.968589,20255,25,0,85
2026-03-31T19:59:48.607781,20255,25,0,85
2026-03-31T19:59:51.186293,20256,25,0,85
2026-03-31T19:59:53.818007,20256,25,0,85
2026-03-31T19:59:56.392626,20258,25,0,85
2026-03-31T19:59:59.033403,20256,25,0,85
2026-03-31T20:00:01.608062,20257,25,0,85
2026-03-31T20:00:04.252670,20256,25,0,85
2026-03-31T20:00:06.827662,20257,25,0,85
2026-03-31T20:00:09.477668,20255,25,0,85
2026-03-31T20:00:12.056183,20256,25,0,85
2026-03-31T20:00:14.693193,20255,25,0,85
2026-03-31T20:00:17.268160,20256,25,0,85
2026-03-31T20:00:19.906689,20256,25,0,85
2026-03-31T20:00:22.482785,20256,25,0,85
2026-03-31T20:00:25.112191,20256,25,0,85
2026-03-31T20:00:27.689055,20257,25,0,85
2026-03-31T20:00:30.321881,20257,25,0,85
2026-03-31T20:00:32.898922,20257,25,0,85
2026-03-31T20:00:35.525841,20257,25,0,85
2026-03-31T20:00:38.102369,20257,25,0,85
2026-03-31T20:00:40.731338,20257,25,0,85
2026-03-31T20:00:43.308784,20257,25,0,85
2026-03-31T20:00:45.960532,20256,25,0,85
2026-03-31T20:00:48.541300,20256,25,0,85
2026-03-31T20:00:51.193130,20256,25,0,85
2026-03-31T20:00:53.772274,20256,25,0,85
2026-03-31T20:00:56.407834,20258,25,0,85
2026-03-31T20:00:58.985715,20257,25,0,85
2026-03-31T20:01:01.615914,20257,25,0,85
2026-03-31T20:01:04.193746,20257,25,0,85
2026-03-31T20:01:06.819682,20258,25,0,85
2026-03-31T20:01:09.398656,20256,25,0,85
2026-03-31T20:01:12.030229,20257,25,0,85
2026-03-31T20:01:14.609594,20256,25,0,85
2026-03-31T20:01:17.260589,20257,25,0,85
2026-03-31T20:01:19.839636,20257,25,0,85
2026-03-31T20:01:22.481649,20257,25,0,85
2026-03-31T20:01:25.060896,20258,25,0,85
2026-03-31T20:01:27.708834,20258,25,0,85
2026-03-31T20:01:30.289056,20258,25,0,85
2026-03-31T20:01:32.920053,20257,25,0,85
2026-03-31T20:01:35.499906,20257,25,0,85
2026-03-31T20:01:38.123200,20258,25,0,85
2026-03-31T20:01:40.703427,20258,25,0,85
2026-03-31T20:01:43.354674,20258,25,0,85
2026-03-31T20:01:45.935702,20259,25,0,85
2026-03-31T20:01:48.589644,20259,25,0,85
2026-03-31T20:01:51.170768,20258,25,0,85
2026-03-31T20:01:53.813162,20260,25,0,85
2026-03-31T20:01:56.394751,20258,25,0,85
2026-03-31T20:01:59.022227,20258,25,1,85
2026-03-31T20:02:01.603469,20257,25,1,85
2026-03-31T20:02:04.250454,20258,25,0,85
2026-03-31T20:02:06.832027,20259,25,1,85
