timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
52:30.5,19945,25,297,85,2.545476,2876,297,5923665,20148,301,25,20097.8,319.6,25,-203,-4,0
52:33.1,19427,25,890,85,2.598128,959,890,17290030,19945,297,25,19962,427,25,-518,593,0
52:35.6,19787,25,1214,85,2.545701,703,1214,24021418,19427,890,25,19890.6,603.8,25,360,324,0
52:38.2,20095,25,1125,85,2.615827,759,1125,22606875,19787,1214,25,19880.4,765.4,25,308,-89,0
52:40.8,20109,25,959,85,2.546361,890,959,19284531,20095,1125,25,19872.6,897,25,14,-166,0
52:43.4,20117,25,866,85,2.598197,986,866,17421322,20109,959,25,19907,1010.8,25,8,-93,0
52:46.0,20124,25,748,85,2.61576,1142,748,15052752,20117,866,25,20046.4,982.4,25,7,-118,0
52:48.5,20126,25,682,85,2.554321,1252,682,13725932,20124,748,25,20114.2,876,25,2,-66,0
52:51.2,20130,25,598,85,2.610885,1428,598,12037740,20126,682,25,20121.2,770.6,25,4,-84,0
52:53.7,20132,25,562,85,2.554932,1520,562,11314184,20130,598,25,20125.8,691.2,25,2,-36,0
52:56.3,20135,25,520,85,2.589196,1642,520,10470200,20132,562,25,20129.4,622,25,3,-42,0
52:58.9,20130,25,521,85,2.610503,1639,521,10487730,20135,520,25,20130.6,576.6,25,-5,1,0
53:01.5,19913,25,543,85,2.547932,1573,543,10812759,20130,521,25,20088,548.8,25,-217,22,0
53:04.1,20128,25,575,85,2.614223,1485,575,11573600,19913,543,25,20087.6,544.2,25,215,32,0
53:06.6,20132,25,512,85,2.547579,1668,512,10307584,20128,575,25,20087.6,534.2,25,4,-63,0
53:09.2,20139,25,476,85,2.603675,1794,476,9586164,20132,512,25,20088.4,525.4,25,7,-36,0
53:11.8,20141,25,430,85,2.548522,1986,430,8660630,20139,476,25,20090.6,507.2,25,2,-46,0
53:14.4,20077,25,417,85,2.608768,2048,417,8372109,20141,430,25,20123.4,482,25,-64,-13,0
53:16.9,20030,25,478,85,2.548151,1787,478,9574340,20077,417,25,20103.8,462.6,25,-47,61,0
53:19.5,20028,25,527,85,2.605151,1620,527,10554756,20030,478,25,20083,465.6,25,-2,49,0
53:22.1,20024,25,588,85,2.549197,1452,588,11774112,20028,527,25,20060,488,25,-4,61,0
53:24.7,20021,25,637,85,2.617343,1341,637,12753377,20024,588,25,20036,529.4,25,-3,49,0
53:27.2,20032,25,674,85,2.549429,1267,674,13501568,20021,637,25,20027,580.8,25,11,37,0
53:29.9,19998,25,741,85,2.618197,1152,741,14818518,20032,674,25,20020.6,633.4,25,-34,67,0
53:32.4,19945,25,808,85,2.549829,1057,808,16115560,19998,741,25,20004,689.6,25,-53,67,0
53:35.0,19985,25,895,85,2.598922,954,895,17886575,19945,808,25,19996.2,751,25,40,87,0
53:37.6,20111,25,823,85,2.550261,1037,823,16551353,19985,895,25,20014.2,788.2,25,126,-72,0
53:40.2,20122,25,747,85,2.613405,1143,747,15031134,20111,823,25,20032.2,802.8,25,11,-76,0
53:42.7,20127,25,651,85,2.549964,1312,651,13102677,20122,747,25,20058,784.8,25,5,-96,0
53:45.3,20154,25,597,85,2.604618,1430,597,12031938,20127,651,25,20099.8,742.6,25,27,-54,0
53:47.9,20178,25,0,85,2.550485,,0,0,20154,597,25,20138.4,563.6,25,24,-597,0
53:50.5,20183,25,0,85,2.603802,,0,0,20178,0,25,20152.8,399,25,5,0,0
53:53.0,20185,25,0,85,2.550972,,0,0,20183,0,25,20165.4,249.6,25,2,0,0
53:55.6,20189,25,0,85,2.602272,,0,0,20185,0,25,20177.8,119.4,25,4,0,0
